Solver Grids Slack Delta_A Delta_B Anneal_Time Max_Bias Chain_Strength Chain_Break Energy Pcost Time Restriction1 Restriction2 Restriction2T Slack_On
4 10 5 2000 1 20 4000.0 2000.5 0.592 -13199.723029135992 69.62093028800001 0 8 -91.228 -4.867999999999981 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -13193.474579007998 137.786875392 0 7 -68.72 25.980000000000004 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -13163.963218383997 75.92356920000002 0 5 -80.752 -16.183999999999983 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -13156.44715417601 61.123534912000004 0 8 -85.204 -18.203999999999994 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -13143.758279936003 137.786875392 0 7 -68.72 26.232 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -13134.705022991999 245.31968459200002 0 5 -55.112 9.45600000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -13116.697421456 151.19468632000005 0 8 -73.312 15.208000000000013 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -13082.191347600005 398.0128390240001 0 4 -8.09599999999999 44.37600000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.552 -13081.466047744001 54.820896000000005 0 8 -95.68 15.076000000000022 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -13069.076822592004 6.302638912000001 0 8 -89.524 15.620000000000005 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -13010.099733904 152.58690968000002 0 5 -64.268 0.30000000000001137 0
4 10 5 2000 1 20 4000.0 2000.5 0.568 -12903.450023439993 154.566284144 0 5 -61.724 2.8440000000000154 0
4 10 5 2000 1 20 4000.0 2000.5 0.56 -12879.447647743997 78.410496 0 8 -87.28 23.476000000000028 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -12806.689314447995 254.909078896 0 5 -46.208 9.719999999999999 0
4 10 5 2000 1 20 4000.0 2000.5 0.568 -12802.799060863988 81.21740928000001 0 8 -77.696 17.47200000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.568 -12741.794060239994 160.93574507200003 0 7 -48.31999999999999 29.84400000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -12727.32638619201 162.17630398400001 0 5 -55.364 21.30000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -12687.429153679997 251.20578366400002 0 5 -44.74399999999999 11.184000000000005 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -12664.119331727998 129.50390628800002 0 5 -69.388 27.77199999999999 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -12640.85516603199 111.71644766400003 0 5 -60.928 22.64800000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -12639.147420815996 151.19468632000005 0 8 -73.312 27.304000000000016 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -12632.475742479994 97.08479544000001 0 5 -68.656 5.507999999999996 0
4 10 5 2000 1 20 4000.0 2000.5 0.56 -12586.740365951991 140.88997632000005 0 7 -69.92 35.42400000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -12524.067289007995 239.45259924800004 0 6 -34.53999999999999 52.78 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -12521.015043968007 318.80251443200007 0 6 -25.77199999999999 62.988000000000014 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -12502.020962319992 316.661281264 0 4 -31.447999999999993 33.12000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -12439.344064320001 142.69729094400003 0 8 -67.288 29.216000000000022 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -12398.18740712 288.220010224 0 5 -43.303999999999995 12.624000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -12378.872925007996 69.62093028800001 0 8 -91.228 13.776000000000025 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -12364.602310335991 267.87888851200006 0 7 -56.959999999999994 39.19200000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -12262.612394639993 247.299059056 0 5 -52.568 31.00800000000001 0
