Solver Grids Delta_A Delta_B Anneal_Time Chain_Strength Chain_Break Energy Pcost Time Restriction1 Restriction2
4 10 4000 2 20 120.00 0.933 -31476.210 342.928 0.000 0 -4.812
4 10 4000 2 20 120.00 0.925 -31201.108 310.761 0.000 0 -11.028
4 10 4000 2 20 120.00 0.908 -31015.415 233.815 0.000 0 -41.688
4 10 4000 2 20 120.00 0.925 -30466.211 529.670 0.000 0 28.308
4 10 4000 2 20 120.00 0.917 -30241.689 211.268 0.000 0 -8.668
4 10 4000 2 20 120.00 0.925 -29734.297 162.661 0.000 0 -30.552
4 10 4000 2 20 120.00 0.925 -29465.624 247.485 0.000 1 -36.972
4 10 4000 2 20 120.00 0.933 -29072.204 439.292 0.000 0 9.180
4 10 4000 2 20 120.00 0.917 -28957.400 312.027 0.000 0 -31.340
4 10 4000 2 20 120.00 0.917 -28911.004 299.628 0.000 0 -35.396
4 10 4000 2 20 120.00 0.933 -28904.876 323.033 0.000 0 -29.564
4 10 4000 2 20 120.00 0.900 -28896.280 216.127 0.000 0 -33.524
4 10 4000 2 20 120.00 0.933 -28891.823 259.550 0.000 0 -25.968
4 10 4000 2 20 120.00 0.917 -28882.705 303.846 0.000 0 -33.668
4 10 4000 2 20 120.00 0.925 -28882.705 303.846 0.000 0 -33.668
4 10 4000 2 20 120.00 0.917 -28841.810 174.668 0.000 0 -37.056
4 10 4000 2 20 120.00 0.933 -28741.170 223.307 0.000 0 -34.824
4 10 4000 2 20 120.00 0.925 -28665.653 279.873 0.000 0 -31.224
4 10 4000 2 20 120.00 0.942 -28546.528 291.920 0.000 0 -39.076
4 10 4000 2 20 120.00 0.942 -28533.817 214.379 0.000 0 -38.180
4 10 4000 2 20 120.00 0.925 -28473.039 282.000 0.000 0 -23.344
4 10 4000 2 20 120.00 0.908 -28399.768 263.841 0.000 0 -18.676
4 10 4000 2 20 120.00 0.917 -28202.253 223.863 0.000 0 -40.820
4 10 4000 2 20 120.00 0.950 -28109.215 259.624 0.000 1 -20.404
4 10 4000 2 20 120.00 0.917 -28106.646 236.434 0.000 0 -24.764
4 10 4000 2 20 120.00 0.908 -27917.181 359.466 0.000 0 -26.560
4 10 4000 2 20 120.00 0.900 -27906.664 297.959 0.000 0 -15.568
4 10 4000 2 20 120.00 0.925 -27902.395 277.301 0.000 0 -44.332
4 10 4000 2 20 120.00 0.925 -27879.119 133.684 0.000 0 -50.724
4 10 4000 2 20 120.00 0.925 -27829.882 189.987 0.000 0 -41.676
4 10 4000 2 20 120.00 0.942 -27817.251 318.772 0.000 0 -24.144
4 10 4000 2 20 120.00 0.942 -27810.068 350.007 0.000 1 -33.144
4 10 4000 2 20 120.00 0.933 -27806.926 221.525 0.000 1 -40.212
4 10 4000 2 20 120.00 0.908 -27790.347 375.591 0.000 0 -19.100
4 10 4000 2 20 120.00 0.917 -27790.347 375.591 0.000 0 -19.100
4 10 4000 2 20 120.00 0.925 -27777.165 370.911 0.000 0 -19.700
4 10 4000 2 20 120.00 0.917 -27758.474 209.899 0.000 0 -38.436
4 10 4000 2 20 120.00 0.925 -27753.817 205.682 0.000 0 -40.164
4 10 4000 2 20 120.00 0.933 -27749.242 305.703 0.000 0 -20.340
4 10 4000 2 20 120.00 0.942 -27722.008 290.385 0.000 0 -23.464
4 10 4000 2 20 120.00 0.925 -27720.466 302.310 0.000 0 -18.056
4 10 4000 2 20 120.00 0.917 -27719.718 236.509 0.000 0 -19.200
4 10 4000 2 20 120.00 0.942 -27683.413 284.074 0.000 0 -15.480
4 10 4000 2 20 120.00 0.933 -27674.170 205.607 0.000 0 -45.728
4 10 4000 2 20 120.00 0.933 -27651.545 280.547 0.000 0 -39.168
4 10 4000 2 20 120.00 0.908 -27643.735 363.202 0.000 0 -23.380
4 10 4000 2 20 120.00 0.908 -27640.375 375.128 0.000 0 -17.972
4 10 4000 2 20 120.00 0.925 -27606.512 205.809 0.000 0 -35.060
4 10 4000 2 20 120.00 0.925 -27606.512 205.809 0.000 0 -35.060
4 10 4000 2 20 120.00 0.917 -27568.910 383.310 0.000 0 -15.644
4 10 4000 2 20 120.00 0.908 -27498.163 223.900 0.000 0 -48.240
4 10 4000 2 20 120.00 0.908 -27484.705 218.601 0.000 0 -34.564
4 10 4000 2 20 120.00 0.925 -27479.726 197.889 0.000 0 -49.184
4 10 4000 2 20 120.00 0.933 -27475.562 283.203 0.000 0 -27.748
4 10 4000 2 20 120.00 0.917 -27457.608 364.046 0.000 0 -29.964
4 10 4000 2 20 120.00 0.925 -27421.239 232.067 0.000 0 -49.484
4 10 4000 2 20 120.00 0.925 -27404.085 387.527 0.000 0 -13.916
4 10 4000 2 20 120.00 0.925 -27385.895 306.543 0.000 0 -12.756
4 10 4000 2 20 120.00 0.942 -27346.312 349.125 0.000 0 -12.784
4 10 4000 2 20 120.00 0.917 -27289.404 128.001 0.000 0 -50.424
4 10 4000 2 20 120.00 0.908 -27270.108 317.462 0.000 0 -25.044
4 10 4000 2 20 120.00 0.933 -27236.841 145.088 0.000 0 -48.768
4 10 4000 2 20 120.00 0.950 -27201.885 123.783 0.000 0 -52.152
4 10 4000 2 20 120.00 0.925 -27122.711 299.400 0.000 0 -30.816
4 10 4000 2 20 120.00 0.925 -27122.711 299.400 0.000 0 -30.816
4 10 4000 2 20 120.00 0.908 -27122.711 299.400 0.000 0 -30.816
4 10 4000 2 20 120.00 0.933 -27080.474 219.668 0.000 0 -53.540
4 10 4000 2 20 120.00 0.917 -27073.916 131.084 0.000 0 -50.160
4 10 4000 2 20 120.00 0.908 -27003.345 237.080 0.000 0 -40.048
4 10 4000 2 20 120.00 0.942 -26985.028 195.709 0.000 0 -52.260
4 10 4000 2 20 120.00 0.925 -26726.866 130.275 0.000 0 -52.488
4 10 4000 2 20 120.00 0.917 -26678.845 259.733 0.000 0 -46.596
4 10 4000 2 20 120.00 0.925 -26612.196 126.252 0.000 0 -55.080
4 10 4000 2 20 120.00 0.908 -26519.407 219.776 0.000 0 -44.868
