Solver Grids Delta_A Delta_B Pcost Time Restriction1 Restriction2
1 10 500 15 367.57 0.132 2 -10.204
1 10 500 15 452.42 0.122 2 -10.944
1 10 500 15 537.29 0.123 3 -10.528
1 10 500 15 461.64 0.129 4 -11.132
1 10 500 15 496.71 0.114 2 -9.336
1 10 500 15 526.11 0.122 4 -9.316
1 10 500 15 613.13 0.132 4 -12.732
1 10 500 15 540.24 0.129 3 -8.496
1 10 500 15 529.68 0.136 3 -9.748
1 10 500 15 489.76 0.229 3 -9.468
1 10 500 15 539.68 0.241 5 -9.720
1 10 500 15 458.61 0.122 4 -8.540
1 10 500 15 365.96 0.128 2 -10.652
1 10 500 15 485.29 0.128 4 -7.452
1 10 500 15 474.99 0.131 3 -7.696
1 10 500 15 499.24 0.119 1 -9.852
1 10 500 15 496.63 0.120 3 -9.784
1 10 500 15 566.97 0.181 3 -10.040
1 10 500 15 485.40 0.181 3 -10.576
1 10 500 15 548.77 0.117 3 -7.208
1 10 500 15 403.26 0.144 3 -10.712
1 10 500 15 542.92 0.185 3 -6.844
1 10 500 15 426.35 0.241 3 -8.496
1 10 500 15 504.89 0.153 3 -9.084
1 10 500 15 474.02 0.147 4 -8.532
1 10 500 15 482.22 0.138 3 -9.860
1 10 500 15 483.62 0.142 4 -7.908
1 10 500 15 635.33 0.118 4 -8.252
1 10 500 15 356.44 0.114 3 -8.784
1 10 500 15 665.76 0.115 5 -7.516
1 10 500 15 474.88 0.135 3 -8.840
1 10 500 15 434.44 0.116 2 -10.316
1 10 500 15 498.76 0.127 4 -10.196
1 10 500 15 480.53 0.111 4 -7.464
1 10 500 15 487.16 0.111 3 -7.988
1 10 500 15 432.45 0.123 3 -9.820
1 10 500 15 524.17 0.116 4 -9.848
1 10 500 15 458.50 0.117 3 -7.020
1 10 500 15 499.38 0.116 4 -11.572
1 10 500 15 418.49 0.112 2 -8.888
1 10 500 15 461.68 0.146 3 -9.836
1 10 500 15 445.86 0.126 5 -8.068
1 10 500 15 364.28 0.121 2 -9.700
1 10 500 15 427.64 0.133 2 -10.236
1 10 500 15 510.55 0.119 5 -8.060
1 10 500 15 548.98 0.112 3 -9.156
1 10 500 15 424.11 0.122 3 -8.816
1 10 500 15 416.66 0.119 3 -9.584
1 10 500 15 467.85 0.134 1 -9.604
1 10 500 15 572.02 0.127 4 -9.768
1 10 500 15 420.40 0.129 2 -9.608
1 10 500 15 543.93 0.115 4 -9.564
1 10 500 15 518.87 0.113 5 -8.912
1 10 500 15 539.21 0.115 2 -10.016
1 10 500 15 450.95 0.123 4 -9.476
1 10 500 15 393.59 0.125 2 -9.532
1 10 500 15 505.56 0.113 4 -10.000
1 10 500 15 433.65 0.120 1 -9.984
1 10 500 15 515.92 0.118 4 -9.272
1 10 500 15 430.31 0.113 3 -10.396
1 10 500 15 453.21 0.111 3 -7.680
1 10 500 15 545.06 0.127 3 -10.828
1 10 500 15 409.07 0.130 5 -7.540
1 10 500 15 444.85 0.121 3 -9.636
1 10 500 15 523.88 0.119 4 -11.672
1 10 500 15 258.74 0.126 2 -9.764
1 10 500 15 427.54 0.127 2 -10.056
1 10 500 15 612.06 0.116 5 -9.360
1 10 500 15 515.12 0.112 3 -8.848
1 10 500 15 457.35 0.109 4 -11.780
1 10 500 15 528.42 0.124 2 -8.400
1 10 500 15 406.00 0.123 2 -11.096
1 10 500 15 498.66 0.129 4 -7.972
1 10 500 20 495.87 0.113 3 -8.040
1 10 500 20 404.01 0.112 2 -9.428
1 10 500 20 458.85 0.112 3 -10.932
1 10 500 20 537.85 0.113 4 -10.764
1 10 500 20 539.29 0.111 4 -6.588
1 10 500 20 400.09 0.123 2 -9.288
1 10 500 20 469.21 0.114 4 -10.876
1 10 500 20 536.23 0.121 3 -9.976
1 10 500 20 529.63 0.114 3 -9.032
1 10 500 20 473.06 0.114 5 -9.744
1 10 500 20 528.50 0.121 3 -7.436
1 10 500 20 514.90 0.134 3 -7.676
1 10 500 20 539.01 0.129 3 -10.204
1 10 500 20 548.77 0.115 4 -7.568
1 10 500 20 543.59 0.113 3 -9.832
1 10 500 20 505.52 0.123 2 -7.444
1 10 500 20 485.90 0.120 3 -8.976
1 10 500 20 535.16 0.112 4 -8.608
1 10 500 20 485.04 0.110 4 -7.836
1 10 500 20 465.36 0.108 3 -11.560
1 10 500 20 459.11 0.111 2 -8.380
1 10 500 20 596.91 0.112 4 -8.416
1 10 500 20 516.10 0.113 4 -9.112
1 10 500 20 456.60 0.129 3 -10.164
1 10 500 20 524.18 0.121 4 -13.628
1 10 500 20 535.58 0.109 3 -8.592
1 10 500 20 438.21 0.119 2 -7.696
1 10 500 20 428.45 0.114 3 -10.328
1 10 500 20 573.10 0.124 4 -13.256
1 10 500 20 573.81 0.107 4 -8.180
1 10 500 20 484.02 0.129 4 -8.348
1 10 500 20 418.65 0.128 3 -8.020
1 10 500 20 601.98 0.116 3 -9.980
1 10 500 20 556.77 0.148 4 -10.416
1 10 500 20 422.47 0.129 3 -9.376
1 10 500 20 472.21 0.115 4 -12.592
1 10 500 20 480.07 0.110 4 -9.452
1 10 500 20 441.30 0.130 5 -11.100
1 10 500 20 592.56 0.130 4 -10.668
1 10 500 20 549.16 0.139 4 -10.368
1 10 500 20 429.57 0.131 5 -11.780
1 10 500 20 565.84 0.124 4 -12.892
1 10 500 20 552.50 0.112 4 -7.332
1 10 500 20 469.80 0.112 4 -10.072
1 10 500 20 544.79 0.133 3 -7.228
1 10 500 20 506.23 0.118 2 -8.024
1 10 500 20 556.74 0.119 5 -8.872
1 10 500 20 548.18 0.113 3 -7.844
1 10 500 20 598.72 0.128 3 -10.360
1 10 500 20 500.23 0.119 5 -11.896
1 10 500 20 468.59 0.113 3 -10.084
1 10 500 20 516.90 0.125 4 -8.448
1 10 500 20 402.93 0.122 3 -8.724
1 10 500 20 565.56 0.119 5 -6.328
1 10 500 20 501.11 0.128 2 -8.432
1 10 500 20 593.78 0.116 4 -7.004
1 10 500 20 567.82 0.113 4 -10.576
1 10 500 20 537.57 0.135 5 -8.852
1 10 500 20 546.82 0.119 3 -9.128
1 10 500 20 577.77 0.124 3 -12.224
1 10 500 20 492.84 0.112 4 -11.184
1 10 500 20 479.43 0.136 4 -8.516
1 10 500 20 466.76 0.130 3 -10.288
1 10 500 20 434.88 0.110 2 -7.936
1 10 500 20 468.79 0.113 4 -8.672
1 10 500 20 436.98 0.132 4 -11.160
1 10 500 20 529.13 0.135 4 -8.768
1 10 500 20 506.02 0.161 3 -7.148
1 10 500 20 516.36 0.149 2 -9.532
1 10 500 20 485.04 0.135 3 -12.752
1 10 500 20 504.24 0.127 4 -7.640
1 10 500 20 491.79 0.125 2 -9.212
1 10 500 20 420.94 0.116 3 -8.736
1 10 500 20 516.38 0.119 3 -9.356
1 10 500 20 457.07 0.115 4 -9.320
1 10 500 20 487.32 0.130 3 -12.380
1 10 500 20 495.03 0.121 2 -9.364
1 10 500 20 545.86 0.180 4 -9.504
1 10 500 20 488.78 0.120 4 -9.520
1 10 500 20 504.25 0.123 5 -11.372
1 10 500 20 609.20 0.108 5 -11.340
1 10 500 20 459.54 0.108 3 -7.264
1 10 500 20 462.72 0.143 3 -8.772
1 10 500 20 642.47 0.107 6 -9.496
1 10 500 20 422.30 0.124 2 -8.872
1 10 500 20 527.55 0.108 5 -11.880
1 10 500 20 425.88 0.121 4 -10.132
1 10 500 20 453.73 0.110 3 -9.408
1 10 500 20 405.49 0.116 4 -7.428
1 10 500 20 605.88 0.107 5 -7.468
1 10 500 20 530.68 0.110 3 -13.568
1 10 500 20 467.27 0.110 4 -7.516
1 10 500 20 570.84 0.123 4 -7.336
1 10 500 20 436.47 0.113 4 -11.364
1 10 500 20 399.50 0.113 3 -9.484
1 10 500 20 522.63 0.110 3 -8.992
1 10 500 20 511.19 0.109 3 -8.152
1 10 500 20 535.88 0.117 3 -9.024
1 10 500 20 557.13 0.118 5 -13.292
1 10 500 20 441.17 0.109 4 -9.432
1 10 500 25 540.86 0.126 4 -8.712
1 10 500 25 361.48 0.127 4 -8.976
1 10 500 25 552.14 0.115 5 -8.852
1 10 500 25 579.08 0.109 4 -11.888
1 10 500 25 502.93 0.125 3 -7.588
1 10 500 25 440.12 0.112 5 -10.236
1 10 500 25 517.19 0.123 3 -10.340
1 10 500 25 507.37 0.119 3 -9.868
1 10 500 25 536.83 0.109 4 -9.884
1 10 500 25 638.54 0.121 4 -6.168
1 10 500 25 575.05 0.115 4 -11.304
1 10 500 25 503.02 0.110 4 -6.236
1 10 500 25 393.40 0.121 4 -7.524
1 10 500 25 470.21 0.131 4 -10.816
1 10 500 25 566.08 0.131 5 -9.148
1 10 500 25 451.28 0.129 4 -11.980
1 10 500 25 438.66 0.122 3 -8.208
1 10 500 25 580.84 0.118 4 -9.144
1 10 500 25 553.32 0.120 3 -6.216
1 10 500 25 554.26 0.120 3 -7.544
1 10 500 25 468.24 0.128 3 -8.272
1 10 500 25 446.69 0.118 4 -11.236
1 10 500 25 476.00 0.122 4 -9.968
1 10 500 25 577.20 0.118 4 -11.648
1 10 500 25 537.74 0.133 4 -9.680
1 10 500 25 488.41 0.109 4 -10.056
1 10 500 25 491.78 0.117 2 -8.972
1 10 500 25 583.75 0.116 4 -9.044
1 10 500 25 498.53 0.127 4 -9.560
1 10 500 25 545.45 0.115 5 -7.068
1 10 500 25 677.18 0.113 5 -6.020
1 10 500 25 396.58 0.121 4 -11.188
1 10 500 25 537.12 0.114 3 -9.484
1 10 500 25 602.07 0.110 4 -11.064
1 10 500 25 566.98 0.116 5 -9.780
1 10 500 25 459.91 0.116 5 -8.060
1 10 500 25 553.72 0.116 5 -12.864
1 10 500 25 482.06 0.126 4 -9.076
1 10 500 25 465.69 0.116 4 -11.696
1 10 500 25 521.90 0.117 5 -10.672
1 10 500 25 533.60 0.136 3 -12.804
1 10 500 25 613.69 0.111 4 -7.836
1 10 500 25 533.84 0.117 5 -10.452
1 10 500 25 554.77 0.109 4 -10.028
1 10 500 25 614.22 0.128 5 -6.680
1 10 500 25 510.19 0.119 4 -8.824
1 10 500 25 448.30 0.115 4 -8.212
1 10 500 25 603.03 0.133 4 -11.132
1 10 500 25 455.02 0.131 3 -8.204
1 10 500 25 546.89 0.115 3 -6.460
1 10 500 25 548.64 0.121 3 -9.248
1 10 500 25 439.46 0.126 2 -7.548
1 10 500 25 385.65 0.122 2 -8.296
1 10 500 25 513.48 0.125 5 -9.248
1 10 500 25 518.89 0.112 5 -10.884
1 10 500 25 528.53 0.114 4 -12.532
1 10 500 25 517.34 0.110 4 -9.452
1 10 500 25 516.34 0.144 3 -9.848
1 10 500 25 499.46 0.111 4 -8.128
1 10 500 25 535.24 0.134 3 -13.268
1 10 500 25 613.70 0.130 5 -8.556
1 10 500 25 507.13 0.133 4 -10.840
1 10 500 25 458.24 0.142 4 -10.576
1 10 500 25 426.87 0.124 4 -7.124
1 10 500 25 481.46 0.138 3 -10.556
1 10 500 25 533.83 0.134 4 -10.088
1 10 500 25 504.33 0.136 3 -7.084
1 10 500 25 447.61 0.122 3 -9.596
1 10 500 25 549.52 0.113 4 -9.452
1 10 500 25 625.09 0.137 4 -12.608
1 10 500 25 564.04 0.122 3 -6.944
1 10 500 25 476.98 0.110 4 -12.044
1 10 500 25 496.28 0.130 4 -8.600
1 10 500 25 562.26 0.122 5 -11.904
1 10 500 25 499.77 0.133 3 -8.780
1 10 500 25 475.44 0.117 4 -9.476
1 10 500 25 518.02 0.127 5 -10.684
1 10 500 25 402.61 0.130 4 -10.536
1 10 500 25 567.13 0.112 5 -10.880
1 10 500 25 347.04 0.119 3 -9.648
1 10 500 25 465.35 0.128 4 -12.396
1 10 500 25 478.48 0.120 4 -13.692
1 10 500 25 473.93 0.130 4 -9.140
1 10 500 25 492.70 0.119 2 -6.856
1 10 500 25 475.77 0.120 4 -13.156
1 10 500 25 577.32 0.116 4 -6.964
1 10 500 25 530.77 0.117 3 -7.092
1 10 500 25 469.75 0.114 4 -10.264
1 10 500 25 436.21 0.110 4 -11.124
1 10 500 25 542.51 0.111 3 -9.904
1 10 500 25 547.69 0.112 3 -12.072
1 10 500 25 594.15 0.146 4 -13.384
1 10 500 25 595.60 0.128 3 -11.180
1 10 500 25 588.18 0.125 3 -8.800
1 10 500 25 535.44 0.123 3 -7.260
1 10 500 25 579.88 0.111 5 -6.056
1 10 500 25 550.38 0.111 3 -9.920
1 10 500 25 579.66 0.114 5 -9.520
1 10 500 25 512.50 0.109 5 -7.944
1 10 500 25 623.70 0.128 4 -6.984
1 10 500 30 414.92 0.125 5 -9.340
1 10 500 30 455.25 0.123 4 -10.748
1 10 500 30 579.80 0.124 5 -11.140
1 10 500 30 471.34 0.127 3 -10.024
1 10 500 30 621.61 0.132 4 -11.924
1 10 500 30 589.90 0.120 5 -11.856
1 10 500 30 608.70 0.127 4 -12.192
1 10 500 30 546.29 0.117 3 -9.432
1 10 500 30 520.87 0.115 5 -9.572
1 10 500 30 482.61 0.118 4 -8.296
